paciente_dni,medico,fecha_hora,especialidad,motivo,prioridad_peso,id_volante,estado
66074300S,tomaguio41@fakeemail.com,2026-02-23 08:00,Pediatría,Renovación de medicación,1.0,,Confirmada
67223002M,linopere223@test.com,2026-02-23 08:00,Neurología,Volante - Derivación Baja,1.0,d7211995-6628-47bc-9441-73d25e3b4396,Confirmada
03496609B,angesast324@test.com,2026-02-23 08:00,Pediatría,Revisión de analíticas,1.0,,Confirmada
64247077G,enriport779@fakeemail.com,2026-02-23 08:30,Psiquiatría,Volante - Derivación Baja,1.0,82ae7b31-e3b8-4ae7-82ed-24e085a0d9f9,Confirmada
11377510P,angesast324@test.com,2026-02-23 08:30,Pediatría,Revisión de analíticas,1.0,,Lista de Espera
62664196Y,linopere223@test.com,2026-02-23 08:45,Neurología,Volante - Derivación Media,2.0,51adfdff-e0a4-4958-bb9d-68d8101fdc11,Confirmada
67223002M,ceciross98@example.com,2026-02-23 08:45,Oncología,Volante - Derivación Baja,1.0,103a1639-7341-4961-b606-ec84fa367a9a,Confirmada
29878680R,anadel212@fakeemail.com,2026-02-23 09:00,Cardiología,Volante - Derivación Baja,1.0,eed28067-ec84-4146-abb0-ed8c9e01451c,Confirmada
84580564L,enriport779@fakeemail.com,2026-02-23 09:00,Psiquiatría,Volante - Derivación Baja,1.0,408a82b3-8464-4971-b3ca-1689f7261103,Confirmada
64485145E,cariflor149@test.com,2026-02-23 09:00,Ginecología,Volante - Derivación Baja,1.0,2542e0f2-ccff-472f-a984-731e955add7b,Lista de Espera
25489931C,linopere223@test.com,2026-02-23 09:00,Neurología,Volante - Derivación Baja,1.0,f97b731f-8ab7-4326-b155-7d8d8568fe1a,Lista de Espera
70516985C,tereestr837@example.com,2026-02-23 09:00,Traumatología,Volante - Derivación Media,2.0,bc42619e-0a6a-4009-9188-4d553f0e5ba7,Lista de Espera
37884463J,enriport779@fakeemail.com,2026-02-23 09:15,Psiquiatría,Volante - Derivación Alta,3.0,80e38201-078b-4170-a99e-7294001723fe,Confirmada
72005264S,fideherr429@example.com,2026-02-23 09:30,Dermatología,Volante - Derivación Baja,1.0,2c4bb07f-2bdc-4865-95e0-b2ac73c6ddf5,Lista de Espera
90541251A,linopere223@test.com,2026-02-23 09:30,Neurología,Volante - Derivación Baja,1.0,dba28f07-094a-4d43-a067-db7a8d5dc200,Confirmada
56510979W,ceciross98@example.com,2026-02-23 09:30,Oncología,Volante - Derivación Baja,1.0,d59fa95d-a6e4-41d6-88b4-fde6c2e0db49,Confirmada
85613037E,angesast324@test.com,2026-02-23 09:30,Pediatría,Renovación de medicación,1.0,,Confirmada
60480137G,linopere223@test.com,2026-02-23 09:45,Neurología,Volante - Derivación Baja,1.0,6870a022-4d33-4ccc-81e6-ed5408a4ae91,Confirmada
29099523S,anadel212@fakeemail.com,2026-02-23 10:00,Cardiología,Volante - Derivación Baja,1.0,1c356b04-6e26-4645-a114-e3fea693c381,Confirmada
62664196Y,tomaguio41@fakeemail.com,2026-02-23 10:00,Pediatría,Renovación de medicación,1.0,,Confirmada
45490964T,enriport779@fakeemail.com,2026-02-23 10:00,Psiquiatría,Volante - Derivación Baja,1.0,b490e327-6e56-4c14-ab9c-fabfa4c1496c,Lista de Espera
53780937Z,sariteno261@test.com,2026-02-23 10:00,Ortopedia,Volante - Derivación Baja,1.0,07d2888e-3b3a-447d-972d-0380c3319f80,Confirmada
56510979W,angesast324@test.com,2026-02-23 10:00,Pediatría,Revisión de analíticas,1.0,,Confirmada
84580564L,primpozo730@test.com,2026-02-23 10:15,Dermatología,Volante - Derivación Media,2.0,f1f8e208-d8d8-4597-86c5-89a58c845226,Lista de Espera
75608512Z,cariflor149@test.com,2026-02-23 10:30,Ginecología,Volante - Derivación Baja,1.0,10471277-10d9-4085-a99c-c1656c85722a,Confirmada
17924058C,fideherr429@example.com,2026-02-23 11:00,Dermatología,Volante - Derivación Baja,1.0,32fa01ed-e59f-497d-a8ef-762f404b23d9,Lista de Espera
72713180Z,linopere223@test.com,2026-02-23 11:00,Neurología,Volante - Derivación Media,2.0,a3b56326-3427-442f-821c-51458ab35b76,Lista de Espera
71414884E,juanpabl907@fakeemail.com,2026-02-23 11:00,Oftalmología,Volante - Derivación Baja,1.0,408efebc-3f3e-45f5-94c0-6a102f35443c,Confirmada
10216925A,tereestr837@example.com,2026-02-23 11:00,Traumatología,Volante - Derivación Baja,1.0,c90eb8e9-1dc4-4af1-9808-2f5b696913cd,Confirmada
03496609B,enriport779@fakeemail.com,2026-02-23 11:30,Psiquiatría,Volante - Derivación Baja,1.0,67575fd2-59e2-4d9b-aed8-fcebd4868151,Lista de Espera
67667924S,linopere223@test.com,2026-02-23 11:30,Neurología,Volante - Derivación Baja,1.0,defb56bc-795a-487e-97e4-8eabe3c34f71,Lista de Espera
75608512Z,linopere223@test.com,2026-02-23 11:45,Neurología,Volante - Derivación Baja,1.0,66cad35f-9d65-4698-a8c8-dafb93a998ce,Lista de Espera
48252795Z,ceciross98@example.com,2026-02-23 11:45,Oncología,Volante - Derivación Baja,1.0,78881154-ea7c-4bff-bc42-40fb63b399da,Confirmada
91496767F,primpozo730@test.com,2026-02-23 11:45,Dermatología,Volante - Derivación Baja,1.0,fe0d4f5d-f7bd-44e2-80ba-d00a1e8b2701,Confirmada
26189238N,enriport779@fakeemail.com,2026-02-23 12:00,Psiquiatría,Volante - Derivación Alta,3.0,144a2ef8-e7d8-4f4d-adf5-f526698838f4,Lista de Espera
71678090Q,cariflor149@test.com,2026-02-23 12:00,Ginecología,Volante - Derivación Baja,1.0,ec74eccf-c529-4bab-8d5f-ee239daea06d,Confirmada
19322046E,enriport779@fakeemail.com,2026-02-23 12:30,Psiquiatría,Volante - Derivación Baja,1.0,8791a50f-4b58-4701-b6d9-4390cd779c35,Confirmada
25483108M,juanpabl907@fakeemail.com,2026-02-23 12:30,Oftalmología,Volante - Derivación Media,2.0,a7af8f8a-78f8-4283-a3c5-064a6ff8aa47,Confirmada
22215088D,angesast324@test.com,2026-02-23 12:30,Pediatría,Consulta General,1.0,,Lista de Espera
27059250A,linopere223@test.com,2026-02-23 12:45,Neurología,Volante - Derivación Baja,1.0,057fdd41-8015-467c-a3fb-6b7fd67886ba,Confirmada
47645559R,enriport779@fakeemail.com,2026-02-23 13:00,Psiquiatría,Volante - Derivación Baja,1.0,d13c6fb4-94f6-4b2c-b324-72ad9a8dde2d,Confirmada
53780937Z,tereestr837@example.com,2026-02-23 13:00,Traumatología,Volante - Derivación Baja,1.0,2fa65375-cc7e-4b83-8997-470178ca991d,Confirmada
71678090Q,linopere223@test.com,2026-02-23 13:15,Neurología,Volante - Derivación Baja,1.0,330629c9-120a-443f-9d07-1d812722f630,Confirmada
84111808A,primpozo730@test.com,2026-02-23 13:15,Dermatología,Volante - Derivación Baja,1.0,50eb3f77-85c2-412f-9bfc-e52469e7ebcc,Confirmada
32113754G,enriport779@fakeemail.com,2026-02-23 13:30,Psiquiatría,Volante - Derivación Baja,1.0,23388a35-c71d-475f-a953-b8f3f6cf5d9d,Confirmada
58131686Z,tereestr837@example.com,2026-02-23 13:30,Traumatología,Volante - Derivación Baja,1.0,e5d08882-4908-4047-99f7-42263bb82064,Confirmada
95385351G,enriport779@fakeemail.com,2026-02-23 13:45,Psiquiatría,Volante - Derivación Alta,3.0,d41ec0b3-21d0-4215-b577-55c583d32875,Confirmada
32113754G,fideherr429@example.com,2026-02-23 14:00,Dermatología,Volante - Derivación Alta,3.0,d2769ae7-7f1e-4300-ba82-ff19f47ad9fd,Lista de Espera
95633207N,enriport779@fakeemail.com,2026-02-23 14:00,Psiquiatría,Volante - Derivación Baja,1.0,3197ad1a-2c74-4c41-9c75-4d3fc1acb665,Lista de Espera
64247077G,juanpabl907@fakeemail.com,2026-02-23 14:00,Oftalmología,Volante - Derivación Baja,1.0,55413e9b-0876-44b8-a82e-3bb25dfc1bd8,Confirmada
68827354S,sariteno261@test.com,2026-02-23 14:00,Ortopedia,Volante - Derivación Media,2.0,53ca2172-1978-470e-b404-e7fe58f1d684,Confirmada
78688539L,tereestr837@example.com,2026-02-23 14:00,Traumatología,Volante - Derivación Baja,1.0,98d9530b-eacd-4e4c-a80e-b4e87cfa80d1,Confirmada
