name,email,password,phone,duracion_cita,especialidad,agenda
Ana del Llabrés,anadel212@fakeemail.com,test_password,+34928400132,60,Cardiología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Fidela Herrera,fideherr429@example.com,test_password,+34986333485,45,Dermatología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Tomás Guiomar Madrigal Olmedo,tomaguio41@fakeemail.com,test_password,+34839199980,60,Pediatría,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Enrique Portero-Jimenez,enriport779@fakeemail.com,test_password,+34828341460,15,Psiquiatría,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Carina Flores Rico,cariflor149@test.com,test_password,+34901075069,45,Ginecología,"{""2026-02-22"": [], ""2026-02-23"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-24"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-25"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-26"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-27"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-03"": [], ""2026-03-04"": [], ""2026-03-05"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-06"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-07"": [], ""2026-03-08"": []}"
Lino Perez Oller,linopere223@test.com,test_password,+34871470008,15,Neurología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Juan Pablo de Muro,juanpabl907@fakeemail.com,test_password,+34972180795,45,Oftalmología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Sarita Tenorio Rosado,sariteno261@test.com,test_password,+34828627516,60,Ortopedia,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Tere Estrella Jordá Lumbreras,tereestr837@example.com,test_password,+34869633396,30,Traumatología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Aitana Sala-Fabregat,aitasala693@fakeemail.com,test_password,+34652455663,60,Medicina General,"{""2026-02-22"": [], ""2026-02-23"": [""15:00-21:00""], ""2026-02-24"": [""15:00-21:00""], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""15:00-21:00""], ""2026-03-03"": [], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
