name,birth_date,email,password,phone,DNI,tarjeta_sanitaria,preferencias_horarias
Luisa Salom Piña,1980-08-27,luissalo569@fakeemail.com,test_password,+34848672136,97157445V,AN 6907876499,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Milagros Juan Corbacho,2000-03-16,milajuan282@fakeemail.com,test_password,+34949234280,04248696K,AN 7682198194,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Fidela Cabo Alcántara,2002-07-18,fidecabo589@test.com,test_password,+34986430598,68827354S,AN 8191282674,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Cosme Coloma Molina,1972-12-19,cosmcolo412@example.com,test_password,+34828804597,54696743Y,AN 3594242359,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
María Dolores Hurtado Alegria,1970-10-12,maridolo125@fakeemail.com,test_password,+34727599904,04094048W,AN 3577050882,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Carlos Ayuso Tomás,2020-06-18,carlayus200@test.com,test_password,+34827830719,75608512Z,AN 1800224735,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Nicodemo Rivas Jurado,1966-03-08,nicoriva441@fakeemail.com,test_password,+34947876492,29099523S,AN 7673790245,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Eric Vergara Ayuso,1946-07-15,ericverg13@example.com,test_password,+34949661737,81445453S,AN 6230312894,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Fernando Donoso Ballester,1998-06-11,ferndono850@test.com,test_password,+34922816598,21473429P,AN 0508719714,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Édgar Cerezo Padilla,2008-10-28,edgacere317@example.com,test_password,+34886496870,96232651F,AN 9462769566,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Samu de Vilalta,1964-03-12,samude938@example.com,test_password,+34915257027,44725030N,AN 3911288024,"{""lunes"": [""M""], ""martes"": [], ""miercoles"": [], ""jueves"": [""T""], ""viernes"": [""T""]}"
José Antonio de Bosch,2000-12-27,joseanto945@test.com,test_password,+34848834626,72005264S,AN 7760077589,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Dimas del Torralba,1955-02-28,dimadel483@fakeemail.com,test_password,+34883681473,46728006X,AN 0218008349,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Román Guitart Gascón,1926-07-22,romaguit388@fakeemail.com,test_password,+34901487624,77299811P,AN 7692932542,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Calisto Mosquera Castrillo,1968-12-11,calimosq752@test.com,test_password,+34601995510,88184034X,AN 0924606526,"{""lunes"": [""T""], ""martes"": [""M""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M""], ""viernes"": []}"
Javier Verdejo Blazquez,2024-01-01,javiverd734@fakeemail.com,test_password,+34803043003,15929838S,AN 2236579277,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Abril Ester Reguera Almagro,2017-02-22,abrieste337@example.com,test_password,+34945105189,62664196Y,AN 1706147381,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Isidro Nacio Vilar Tejedor,1944-10-24,isidnaci521@test.com,test_password,+34883244051,45490964T,AN 7219993027,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Dulce Andrade Montaña,1984-09-16,dulcandr905@test.com,test_password,+34820459188,84580564L,AN 5716382928,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Mercedes Ferrándiz Oliveras,1947-12-31,mercferr783@test.com,test_password,+34874164316,53780937Z,AN 5420386509,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
